idx name E N U flagged rotation
167 sb17-5 1.126 -14.713 0.0 False 56.1
168 sb16-1 -0.36 -7.596 0.0 False 56.1
169 sb16-2 -1.17 -5.318 0.0 False 56.1
170 sb16-3 -2.735 -6.16 0.0 False 56.1
171 sb16-4 -1.883 -8.497 0.0 False 56.1
172 sb16-5 -5.09 -6.477 0.0 False 56.1
173 sb16-6 -4.034 -8.252 0.0 False 56.1
174 sb16-7 -3.458 -11.682 0.0 False 56.1
175 sb16-8 -1.181 -10.172 0.0 False 56.1
176 sb18-4 -1.73 0.076 0.0 False 56.1
177 sb18-5 -2.308 -2.097 0.0 False 56.1
178 sb18-6 -0.52 -1.423 0.0 False 56.1
179 sb18-7 -2.487 -4.158 0.0 False 56.1
180 sb18-8 -0.029 -3.912 0.0 False 56.1
181 sb18-9 1.705 -1.447 0.0 False 56.1
182 sb18-10 3.639 -0.209 0.0 False 56.1
183 sb18-11 2.383 2.505 0.0 False 56.1
184 sb17-6 2.997 -14.681 0.0 False 56.1
185 sb17-7 2.733 -16.991 0.0 False 56.1
186 sb17-8 4.422 -17.644 0.0 False 56.1
187 sb17-9 5.289 -16.022 0.0 False 56.1
188 sb17-10 8.32 -17.51 0.0 False 56.1
189 sb18-1 1.242 0.254 0.0 False 56.1
190 sb18-2 -0.082 3.323 0.0 False 56.1
191 sb18-3 -0.933 1.693 0.0 False 56.1
192 sb19-9 6.68 -9.847 0.0 False 56.1
193 sb19-10 7.768 -6.939 0.0 False 56.1
194 sb19-11 9.551 -7.002 0.0 False 56.1
195 sb20-1 11.299 -11.089 0.0 False 56.1
196 sb20-2 10.863 -9.393 0.0 False 56.1
197 sb20-3 8.319 -8.942 0.0 False 56.1
198 sb20-4 8.807 -10.994 0.0 False 56.1
199 sb20-5 6.802 -12.271 0.0 False 56.1
200 sb19-1 3.33 -2.232 0.0 False 56.1
201 sb19-2 4.644 -3.929 0.0 False 56.1
202 sb19-3 2.523 -5.371 0.0 False 56.1
203 sb19-4 0.756 -5.915 0.0 False 56.1
204 sb19-5 4.489 -6.565 0.0 False 56.1
205 sb19-6 3.34 -7.968 0.0 False 56.1
206 sb19-7 4.46 -9.358 0.0 False 56.1
207 sb19-8 6.094 -7.529 0.0 False 56.1
208 sb21-4 7.461 -0.083 0.0 False 56.1
209 sb21-5 4.97 -1.557 0.0 False 56.1
210 sb21-6 6.152 -2.952 0.0 False 56.1
211 sb21-7 6.406 -4.782 0.0 False 56.1
212 sb21-8 7.853 -2.412 0.0 False 56.1
213 sb21-9 8.261 -4.468 0.0 False 56.1
214 sb21-10 10.651 -1.856 0.0 False 56.1
215 sb21-11 10.858 -0.005 0.0 False 56.1
216 sb20-6 8.832 -13.906 0.0 False 56.1
217 sb20-7 7.679 -15.611 0.0 False 56.1
218 sb20-8 10.171 -15.706 0.0 False 56.1
219 sb20-9 10.611 -12.994 0.0 False 56.1
220 sb20-10 14.25 -12.008 0.0 False 56.1
221 sb21-1 11.076 1.887 0.0 False 56.1
222 sb21-2 9.232 0.702 0.0 False 56.1
223 sb21-3 7.967 2.543 0.0 False 56.1
224 sb22-9 15.539 -8.309 0.0 False 56.1
225 sb22-10 17.028 -6.654 0.0 False 56.1
226 sb22-11 14.427 -6.866 0.0 False 56.1
227 sb23-1 17.321 1.294 0.0 False 56.1
228 sb23-2 15.818 2.305 0.0 False 56.1
229 sb23-3 12.773 1.006 0.0 False 56.1
230 sb23-4 15.061 -0.292 0.0 False 56.1
231 sb23-5 13.771 -2.189 0.0 False 56.1
232 sb22-1 16.267 -4.827 0.0 False 56.1
233 sb22-2 13.784 -4.984 0.0 False 56.1
234 sb22-3 12.234 -3.032 0.0 False 56.1
235 sb22-4 11.014 -4.437 0.0 False 56.1
236 sb22-5 11.579 -6.102 0.0 False 56.1
237 sb22-6 13.085 -8.03 0.0 False 56.1
238 sb22-7 13.078 -9.879 0.0 False 56.1
239 sb22-8 15.211 -10.523 0.0 False 56.1
240 sb24-4 12.349 5.281 0.0 False 56.1
241 sb24-5 11.712 3.597 0.0 False 56.1
242 sb24-6 13.751 2.478 0.0 False 56.1
243 sb24-7 14.655 4.767 0.0 False 56.1
244 sb24-8 16.322 4.101 0.0 False 56.1
245 sb24-9 18.006 3.422 0.0 False 56.1
246 sb24-10 18.172 5.596 0.0 False 56.1
247 sb24-11 16.381 6.866 0.0 False 56.1
248 sb23-6 16.161 -1.76 0.0 False 56.1
249 sb23-7 14.999 -3.539 0.0 False 56.1
250 sb23-8 17.113 -3.254 0.0 False 56.1
251 sb23-9 19.086 -5.122 0.0 False 56.1
252 sb23-10 19.233 -0.935 0.0 False 56.1
253 sb24-1 15.269 9.2 0.0 False 56.1
254 sb24-2 14.62 7.211 0.0 False 56.1
255 sb24-3 12.579 7.147 0.0 False 56.1
