idx name E N U flagged
220 SB21-08 -8.2105 -0.0011 -0.0421 False
221 SB21-09 -9.202 1.8047 -0.0341 False
222 SB21-10 -10.7456 -1.3775 -0.0274 False
223 SB21-11 -10.3511 -3.232 -0.0363 False
224 SB22-01 -16.9468 -0.2268 -0.0719 False
225 SB22-02 -14.6273 0.6598 -0.0474 False
226 SB22-03 -12.5462 -0.7646 -0.0604 False
227 SB22-04 -11.7985 0.8822 -0.0806 False
228 SB22-05 -12.8413 2.382 -0.042 False
229 SB22-06 -14.8904 3.7633 -0.0654 False
230 SB22-07 -15.3648 5.5711 -0.0254 False
231 SB22-08 -17.6147 5.5756 -0.0074 False
232 SB22-09 -17.2959 3.3337 -0.0442 False
233 SB22-10 -18.2162 1.3046 -0.0161 False
234 SB22-11 -15.8122 2.3118 -0.0638 False
235 SB23-01 -16.1726 -6.3779 -0.0324 False
236 SB23-02 -14.4689 -6.902 -0.0403 False
237 SB23-03 -11.9129 -4.7502 -0.0318 False
238 SB23-04 -14.4638 -4.1635 -0.0595 False
239 SB23-05 -13.8023 -1.9971 -0.0791 False
240 SB23-06 -15.9697 -3.081 -0.0625 False
241 SB23-07 -15.3902 -1.1028 -0.0679 False
242 SB23-08 -17.3013 -1.9439 -0.0779 False
243 SB23-09 -19.7492 -0.7403 -0.0682 False
244 SB23-10 -18.6974 -4.8702 -0.0387 False
245 SB24-01 -11.871 -13.324 0.0092 False
246 SB24-02 -11.842 -11.2226 -0.0088 False
247 SB24-03 -9.8906 -10.5507 0.0089 False
248 SB24-04 -10.2003 -8.6926 -0.0452 False
249 SB24-05 -10.1347 -6.9468 -0.0204 False
250 SB24-06 -12.4474 -6.4305 -0.05 False
251 SB24-07 -12.681 -8.866 -0.0568 False
252 SB24-08 -14.3546 -8.7479 -0.0254 False
253 SB24-09 -16.1948 -8.6185 -0.0702 False
254 SB24-10 -15.7111 -10.7388 -0.0224 False
255 SB24-11 -13.6342 -11.4378 -0.0114 False
